HOUSEID WTHHFIN HHVEHCNT HHFAMINC NUMADLT WRKCOUNT DRVRCNT HOMEOWN URBRUR URSIZE D_PT HHR_AGE HHR_SEX HHR_EDUC HBRESDN HBPPOPDN HBHTNRNT HTRESDN HTHTNRNT HTPPOPDN HTEEMPDN TOTANNMI TOTBESTM GSCOST AVGGSCST GSTOTCST GSTOTEST zero logsum1 logsum2 logsum3 logsum4 const MILES LOG_MILES MILES_LOWER GSTTOTCST_1000 GSTTOTEST_1000 GSTOTCST_1000 GSTOTEST_1000 HTRESDN_1000 COST_PER_MILE MEAN_COST MILES_10k logsum
45754751 70.0287 0 4 1 0 0 1 0 1 0 76 1 1 50 300 5 50 5 300 25 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
46351232 1373.3884 0 17 1 1 1 0 1 6 0 32 1 5 7000 17000 50 7000 50 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
47173664 2501.3082 0 5 1 0 0 0 1 6 0 81 1 4 17000 17000 80 7000 50 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
47654293 351.7166 0 3 1 0 1 0 1 2 0 47 1 4 1500 3000 20 1500 40 3000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
48164922 409.7198 0 2 1 0 0 1 1 6 0 90 1 1 3000 7000 30 7000 50 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
48288565 1538.6062 0 6 2 1 0 0 1 6 1 55 0 4 17000 30000 50 17000 60 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
48724308 95.6911 0 1 1 0 1 0 1 1 0 74 1 1 1500 3000 70 1500 50 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
49190955 653.196 0 17 1 1 1 1 1 6 1 51 0 5 17000 30000 50 30000 50 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
49539086 4199.0543 0 6 1 0 1 0 1 6 1 75 1 3 17000 30000 70 17000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
49569373 192.407 0 6 1 0 1 1 1 6 0 84 1 2 3000 7000 60 3000 60 7000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
49876558 18484.9041 0 10 1 1 1 0 1 5 0 49 1 2 7000 17000 60 3000 50 7000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
51029731 25377.649 0 3 1 0 0 0 1 5 0 79 1 1 7000 17000 40 7000 40 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
51262060 339.04 0 18 1 0 0 0 1 6 0 75 1 5 7000 7000 50 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
52114492 15390.9015 0 1 1 0 1 0 1 5 0 54 0 1 17000 30000 80 17000 80 30000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
52369724 3793.8451 0 10 1 1 1 0 1 6 0 56 1 4 17000 17000 30 17000 30 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
52963953 223.5588 0 14 2 1 2 1 1 6 0 36 0 3 7000 17000 60 17000 90 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
53330691 208.4495 0 3 2 0 0 1 1 6 0 86 1 1 7000 17000 50 7000 50 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
53937698 1964.7099 0 3 3 1 1 0 1 6 0 44 1 2 3000 7000 50 7000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
54497443 1058.6432 0 18 1 1 1 0 1 6 0 64 1 5 17000 30000 70 17000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
54498749 18996.8238 0 4 2 1 1 1 1 5 1 52 1 2 3000 7000 5 1500 20 7000 350 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
54516634 423.5815 0 5 2 0 2 0 1 6 0 55 1 3 17000 30000 70 17000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
55892559 736.1234 0 4 1 0 1 0 1 6 0 79 1 2 7000 17000 60 7000 50 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
56376533 1135.1133 0 9 1 1 1 0 1 6 1 42 1 5 17000 17000 80 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
57939092 39.4502 0 4 1 0 0 1 0 1 0 86 1 3 50 50 5 50 20 50 25 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
58102213 4025.1507 0 6 1 1 0 0 1 6 0 63 1 2 7000 17000 60 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
58490862 798.9486 0 18 2 2 2 1 1 6 1 28 1 4 30000 30000 60 30000 60 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
59026026 3414.0282 0 14 2 2 0 0 1 6 1 47 1 5 7000 7000 40 3000 20 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
59920535 18391.4381 0 2 1 0 0 0 1 5 0 38 1 2 3000 7000 5 3000 20 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
60487838 255.6195 0 3 1 0 0 0 0 1 0 66 1 2 50 300 5 50 5 300 25 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
60526700 2203.5137 0 15 2 1 0 0 1 6 0 39 0 4 7000 7000 40 7000 40 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
61138904 2906.8735 0 1 1 0 1 0 1 6 1 23 0 3 7000 7000 90 7000 70 17000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
61375736 279.4125 0 1 2 0 0 1 1 6 0 83 1 2 3000 7000 70 7000 60 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
61514928 383.0745 0 5 1 0 1 0 1 6 1 62 1 1 17000 17000 70 17000 70 17000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
61608845 353.5484 0 1 1 0 0 0 1 6 0 73 1 2 7000 17000 90 3000 90 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
62010173 68.467 0 10 1 0 1 1 1 6 0 84 1 2 1500 7000 20 1500 20 7000 350 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
63830949 6106.5583 0 3 1 1 1 1 1 2 0 63 1 3 300 750 30 300 20 750 150 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.3 0 0 0 0
63881389 4455.5501 0 18 2 2 2 1 1 6 0 42 1 4 1500 7000 20 1500 20 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
63973592 1364.0409 0 3 1 1 0 0 1 6 0 60 0 2 7000 17000 90 7000 80 17000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
64211992 2493.2184 0 5 2 1 1 0 1 6 0 35 0 2 17000 30000 60 7000 40 17000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
64438678 361.1606 0 1 1 0 0 0 1 1 0 74 0 1 1500 3000 50 1500 50 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
64478731 441.8238 0 3 1 0 1 0 1 2 0 47 1 2 1500 7000 40 1500 40 3000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
65887675 742.0561 0 8 1 1 1 1 1 6 1 46 1 3 7000 17000 60 7000 60 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
66120502 46.7427 0 2 1 0 0 1 1 2 0 83 1 1 750 3000 5 750 5 3000 150 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.75 0 0 0 0
66776495 2428.3988 0 2 1 0 0 0 1 1 0 81 1 1 750 1500 30 50 20 300 75 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
66813617 1169.4802 0 9 1 1 1 1 1 6 1 35 1 4 30000 30000 70 30000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
66931708 128.8311 0 12 1 0 1 1 1 6 0 66 1 3 7000 7000 50 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
67106099 18392.5161 0 6 1 1 1 0 1 5 1 48 1 3 7000 17000 80 7000 70 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
67449077 15.0914 0 2 1 0 1 1 1 1 0 70 1 1 3000 7000 40 750 50 1500 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.75 0 0 0 0
67460933 9098.3662 0 8 1 1 1 1 1 5 0 44 1 4 1500 3000 40 1500 40 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
67791002 1890.2921 0 3 2 0 2 0 1 6 1 58 1 2 3000 7000 80 3000 80 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
68536095 18484.9624 0 3 2 2 2 0 1 6 1 30 1 3 17000 17000 90 3000 50 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
69734320 1863.23 0 15 1 1 1 1 1 6 1 38 0 4 3000 7000 20 3000 30 7000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
69829637 351.7003 0 10 1 1 1 0 1 2 0 48 1 3 3000 7000 50 3000 40 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
